Timestamp,US_CoinbaseRank,US_OKXRank,US_TrustRank,UK_CoinbaseRank,UK_OKXRank,UK_TrustRank,,,,,,,
28/10/2024 22:25,32,34,,,,,,,,,,,
28/10/2024 22:26,32,34,,,,,,,,,,,
28/10/2024 22:30,32,34,,,,,,,,,,,
28/10/2024 22:31,32,34,,,,,,,,,,,
28/10/2024 22:34,32,34,,,,,,,,,,,
28/10/2024 22:37,32,34,,,,,,,,,,,
28/10/2024 22:41,32,34,,,,,,,,,,,
28/10/2024 22:43,32,34,,,,,,,,,,,
28/10/2024 22:44,32,34,,,,,,,,,,,
06/11/2024 11:33,32,41,,37,,,,72,22,55,66,14,70
06/11/2024,11:44:49,32,41,,83,78,87,72,22,55,66,14,70
06/11/2024,11:48:20,32,41,,37,,,72,22,55,66,14,702024-11-06,12:03:34,30,34,,31,,,76,22,59,68,16,71
2024-11-06,12:05:43,30,34,73,80,76,87,76,22,59,68,16,71
